Name,Revenue,Result,FCF,ROIC,D/E,Y_test MLP,Y_test_Probs
Hansa Biopharma,8.843,2.104,2.281,-0.541,0.337,1,0.5512053258642864
Biovica,2.286,1.659,1.232,-0.205,0.055,1,0.5150709373525779
